                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.6238,                0.74095,                 1.0738,                 0.9418,                 0.9403,                0.96482,                0.47583,                 1.8263,                0.84381,                 1.1704,               0.002773,               0.002773,               0.002773
                     76,                 1.6761,                0.78011,                 1.1082,                0.97357,                0.96642,                0.98977,                0.55178,                 1.5269,                0.72726,                 1.0815,               0.002674,               0.002674,               0.002674
                     77,                 1.5699,                0.74181,                 1.0585,                0.96918,                0.96269,                0.98673,                 0.5235,                 1.5423,                  0.766,                 1.0851,               0.002575,               0.002575,               0.002575
                     78,                 1.6267,                0.72628,                 1.0723,                0.96884,                0.96269,                 0.9856,                0.49438,                 1.6104,                0.77338,                 1.1157,               0.002476,               0.002476,               0.002476
                     79,                 1.6227,                0.73331,                 1.0956,                0.96848,                0.96269,                0.97627,                0.53793,                 1.6113,                0.73995,                 1.1145,               0.002377,               0.002377,               0.002377
                     80,                 1.6564,                0.76297,                 1.1191,                0.96642,                 0.9666,                0.97727,                0.54609,                 1.5369,                0.74831,                 1.0938,               0.002278,               0.002278,               0.002278
                     81,                 1.5842,                0.73051,                 1.0646,                0.96656,                0.97078,                0.98126,                0.52277,                  1.563,                0.77778,                 1.1042,               0.002179,               0.002179,               0.002179
                     82,                 1.6027,                0.72649,                 1.0677,                0.95979,                0.96269,                0.98138,                0.50514,                 1.6152,                0.80087,                 1.1243,                0.00208,                0.00208,                0.00208
                     83,                 1.6138,                0.73332,                 1.1043,                0.96444,                0.96269,                0.98203,                0.53863,                 1.5316,                0.73713,                 1.0866,               0.001981,               0.001981,               0.001981
                     84,                 1.5731,                0.71667,                 1.0579,                0.95951,                0.95896,                0.97242,                0.53694,                 1.5943,                0.73998,                 1.0993,               0.001882,               0.001882,               0.001882
                     85,                 1.6089,                0.70602,                 1.0679,                0.96217,                0.96642,                0.98643,                0.54051,                  1.569,                0.72266,                 1.0973,               0.001783,               0.001783,               0.001783
                     86,                 1.5862,                0.71057,                 1.0745,                0.98132,                0.98028,                0.98961,                0.55761,                 1.5141,                0.67145,                 1.0801,               0.001684,               0.001684,               0.001684
                     87,                 1.6243,                0.69022,                 1.1102,                0.97016,                0.97039,                0.98585,                0.53872,                 1.5519,                0.69004,                 1.0947,               0.001585,               0.001585,               0.001585
                     88,                 1.5937,                0.71368,                 1.0798,                0.96656,                0.97066,                0.98283,                0.54256,                 1.5584,                0.69111,                  1.095,               0.001486,               0.001486,               0.001486
                     89,                 1.6243,                0.70546,                 1.0879,                 0.9776,                0.97726,                0.98768,                0.54613,                  1.522,                0.69526,                 1.0779,               0.001387,               0.001387,               0.001387
                     90,                 1.5334,                0.70308,                 1.0467,                0.97019,                 0.9714,                0.98611,                 0.5392,                 1.5729,                 0.7076,                 1.0891,               0.001288,               0.001288,               0.001288
                     91,                 1.6557,                0.76613,                 1.1862,                 0.9739,                0.97474,                0.98894,                0.56075,                 1.5299,                0.68612,                 1.0823,               0.001189,               0.001189,               0.001189
                     92,                 1.6076,                0.70322,                 1.1354,                0.97384,                 0.9724,                  0.985,                0.53738,                  1.566,                0.68853,                 1.0924,                0.00109,                0.00109,                0.00109
                     93,                  1.564,                0.72288,                 1.1392,                0.97758,                0.97622,                0.99097,                0.55923,                 1.5458,                0.70603,                 1.0885,               0.000991,               0.000991,               0.000991
                     94,                 1.5625,                0.72147,                 1.1337,                0.97003,                 0.9662,                0.98572,                0.56677,                 1.5386,                0.70381,                 1.0777,               0.000892,               0.000892,               0.000892
                     95,                 1.5941,                0.71383,                 1.1334,                0.97751,                0.97286,                0.98596,                0.56083,                 1.5409,                0.69211,                 1.0733,               0.000793,               0.000793,               0.000793
                     96,                 1.5985,                0.70988,                  1.148,                0.97752,                0.97342,                 0.9838,                0.56576,                 1.5114,                0.68098,                 1.0693,               0.000694,               0.000694,               0.000694
                     97,                 1.5444,                0.67824,                 1.1013,                0.98507,                0.98461,                0.98685,                0.56568,                 1.4995,                0.66323,                 1.0735,               0.000595,               0.000595,               0.000595
                     98,                 1.5956,                0.67603,                 1.1114,                0.98028,                0.97761,                0.98274,                0.57728,                 1.5084,                0.67296,                 1.0744,               0.000496,               0.000496,               0.000496
                     99,                 1.5717,                0.66805,                 1.1336,                0.97023,                0.97303,                0.98424,                0.55731,                  1.562,                0.69064,                 1.0898,               0.000397,               0.000397,               0.000397
                    100,                 1.5804,                0.66054,                 1.1313,                0.97626,                0.97388,                0.98662,                0.56878,                 1.5344,                0.67921,                 1.0808,               0.000298,               0.000298,               0.000298
